,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
2399,CdS,CdS,ZT,,[1.3],[873.0],1.3,873.0,JMC_data
2400,SeSn,SeSn,ZT,,[0.15],[295],0.15,295.0,JMC_data
2401,SSn,SSn,ZT,,[0.28],[295],0.28,295.0,JMC_data
2402,Na3Se100Sn97,SeSn,ZT,,[1.17],"[300.0, 800.0]",1.17,550.0,JMC_data
2403,SSn,SSn,ZT,,[0.16],[823.0],0.16,823.0,JMC_data
2404,Bi3Ca57Co80O180,Ca3Co4O9,ZT,,[0.045],[300.0],0.045,300.0,JMC_data
2405,Co8Sb23Te,CoSb3,ZT,,[1.1],[820.0],1.1,820.0,JMC_data
2406,undoped,None,ZT,,[0.1],[600.0],0.1,600.0,JMC_data
2407,Co8Sb23Te,CoSb3,ZT,,[1.1],[820.0],1.1,820.0,JMC_data
2408,Co8Sb23Te,CoSb3,ZT,,[1.1],[820.0],1.1,820.0,JMC_data
2409,ET,None,ZT,,[0.61],[1118.0],0.61,1118.0,JMC_data
2410,Cu120S125Sb39Se5Te,Cu12S13Sb4,ZT,,[0.84],[673.0],0.84,673.0,JMC_data
2411,Cu120S125Sb39Se5Te,Cu12S13Sb4,ZT,,[0.84],[673.0],0.84,673.0,JMC_data
2412,Te,Te,ZT,,[0.8],[673.0],0.8,673.0,JMC_data
2413,CoCu23S26Sb8,Cu23S26Sb8,ZT,,[0.98],[673.0],0.98,673.0,JMC_data
2414,Cu44S51Sb16SeZn4,Cu11S13Sb4,ZT,,[0.86],[673.0],0.86,673.0,JMC_data
2415,BaBiTe3,None,ZT,,[0.25],[473.0],0.25,473.0,JMC_data
2416,BaBiTe3,None,ZT,,[0.25],[473.0],0.25,473.0,JMC_data
2417,BaBiTe3,None,ZT,,[0.25],[473.0],0.25,473.0,JMC_data
2418,Bi4CsTe6,Bi4CsTe6,ZT,,[0.82],[225.0],0.8200000000000001,225.0,JMC_data
2419,Bi8K2Se13,Bi8K2Se13,ZT,,[1.3],[873.0],1.3,873.0,JMC_data
2420,BaBiTe3,None,ZT,,[0.15],[398.0],0.15,398.0,JMC_data
2421,BaBiTe3,None,ZT,,[0.25],[473.0],0.25,473.0,JMC_data
2422,BaBiTe3,None,ZT,,[0.25],[473.0],0.25,473.0,JMC_data
2423,BaBiTe3,None,ZT,,[0.25],[473.0],0.25,473.0,JMC_data
2424,Ni45SbSn49Zr50,NiSnZr,ZT,,[0.71],[823.0],0.71,823.0,JMC_data
2425,Ni45SbSn49Zr50,NiSnZr,ZT,,[0.71],[823.0],0.71,823.0,JMC_data
2426,In4PbxSe3Sny,None,ZT,,[1.4],[733.0],1.4,733.0,JMC_data
2427,Cu12S13Sb4,Cu12S13Sb4,ZT,,[0.6],[700.0],0.6000000000000001,700.0,JMC_data
2428,SeSn,SeSn,ZT,,[1.2],[773.0],1.2,773.0,JMC_data
2429,SeSn,SeSn,ZT,,[0.8],[773.0],0.8,773.0,JMC_data
2430,SeSn,SeSn,ZT,,[1.1],[773.0],1.1,773.0,JMC_data
2431,SeSn,SeSn,ZT,,[1.2],[773.0],1.2,773.0,JMC_data
2432,SeSn,SeSn,ZT,,[1.2],[773.0],1.2,773.0,JMC_data
2433,PbSn4Te5,PbSn4Te5,ZT,,[0.29],[723.0],0.29,723.0,JMC_data
2434,BiSbTe,None,ZT,,[1.4],[400.0],1.4,400.0,JMC_data
2435,bismuth,None,ZT,,[1.0],[295],1.0,295.0,JMC_data
2436,Bi23Sb77Te150,BiSb3Te6,ZT,,[1.2],[373.0],1.2,373.0,JMC_data
2437,TeZn,TeZn,ZT,,[1.4],[400.0],1.4,400.0,JMC_data
2438,TeZn,TeZn,ZT,,[1.2],[373.0],1.2,373.0,JMC_data
2439,TeZn,TeZn,ZT,,[1.2],[373.0],1.2,373.0,JMC_data
2440,TeZn,TeZn,ZT,,[1.4],[373.0],1.4,373.0,JMC_data
2441,Bi23Sb77Te150,BiSb3Te6,ZT,,[1.5],"[300.0, 523.0]",1.5,411.5,JMC_data
2442,TeZn,TeZn,ZT,,[1.4],[373.0],1.4,373.0,JMC_data
2443,TeZn,TeZn,ZT,,[1.2],[373.0],1.2,373.0,JMC_data
2444,BiSbTe,None,ZT,,[1.01],[383.0],1.01,383.0,JMC_data
2445,BiSbTe,None,ZT,,[0.44],[303.0],0.44,303.0,JMC_data
2446,BiSbTe,None,ZT,,[1.01],[303.0],1.01,303.0,JMC_data
2447,BiSbTe,None,ZT,,[1.28],[303.0],1.28,303.0,JMC_data
2448,BiCuOSe,BiCuOSe,ZT,,[1.0],[873.0],1.0,873.0,JMC_data
2449,Bi44Ca3Cu50O50Pb3Se50,BiCuOSe,ZT,,[1.5],[873.0],1.5,873.0,JMC_data
2450,BiCuOTe,BiCuOTe,ZT,,[0.65],[650.0],0.65,650.0,JMC_data
2451,BiCuOSe,BiCuOSe,ZT,,[0.31],[650.0],0.31,650.0,JMC_data
2452,Bi51Cu50O50Te50,BiCuOTe,ZT,,[0.69],[723.0],0.6900000000000001,723.0,JMC_data
2453,Bi53Cu50O50Te50,BiCuOTe,ZT,,[0.63],[673.0],0.63,673.0,JMC_data
2454,BiCuOTe,BiCuOTe,ZT,,[0.63],[723.0],0.63,723.0,JMC_data
