compound,icsd,sg,Eg (eV),m*b (vb),m*b (cb),Nb (vb),Nb (cb),kL,mob (h),mob (e),beta (p),beta (n),cite
Al2Ca1O4,172781,62,4.88,1.554,0.56,3,1,9.33,11.27,52.12,1.96,1.21,Non-Zintl
Al2Ca2O5,89708,46,3.57,1.895,0.138,1,1,10.09,6.39,325.6,0.51,2.46,Non-Zintl
Al2Ca2O7Si1,24588,113,4.27,3.08,0.141,2,1,18.42,2.2,225.38,0.87,2.78,Non-Zintl
Al2Ca3N4,280349,15,2.54,1.42,0.955,1,1,7.7,7.72,13.98,0.62,0.79,Non-Zintl
Al2Ca3P4,423780,15,1.26,0.251,0.795,1,1,4.84,53.86,9.58,1.79,0.9,Non-Zintl
Al2Ca5Sb6,60146,55,0.18,0.614,0.355,2,2,1.45,7.98,18.14,3.6,5,Non-Zintl
Al2Ca5Sb6,183853,55,0.18,0.625,0.356,2,2,1.42,7.75,18.06,3.56,5,Non-Zintl
Al2Cd1O4,183382,227,2.7,2.527,0.076,4,1,14.79,5.16,981.27,1.79,3.64,Non-Zintl
Al2Cd1S4,67218,82,2.73,8.626,0.087,2,1,10.12,0.18,179.59,0.42,3.3,Non-Zintl
Al2Cd1S4,43025,227,2.47,1.818,0.11,4,1,7.03,3.89,260.25,2.17,2.92,Non-Zintl
Al2Cd1Se4,51422,82,2.01,4.146,0.053,5,1,6.01,0.47,326.94,2,5.51,Non-Zintl
Al2Cd1Se4,606347,227,1.27,1.682,0.019,4,1,3.78,3.47,2948.1,2.83,10.49,Non-Zintl
Al2Cd1Se4,51423,227,1.27,1.681,0.018,4,1,3.78,3.47,3179.08,2.83,10.81,Non-Zintl
Al2Cd1Te4,25640,82,1.63,1.284,0.06,3,1,3.37,2.12,208.39,2.68,5.6,Non-Zintl
Al2Fe1S4,607619,160,1.45,2.299,0.923,2,3,0.75,0.21,0.83,1.51,3.93,Non-Zintl
Al2Ge2O7,201750,15,3.41,2.565,0.099,4,1,15.81,3.08,408.53,2.17,3.83,Non-Zintl
Al2Hg1S4,25635,82,2.02,3.965,0.089,4,1,7.36,0.58,172.52,1.53,3.75,Non-Zintl
Al2Hg1S4,608160,227,1.31,1.405,0.032,4,1,5.43,5.65,1643.04,2.89,6.98,Non-Zintl
Al2Hg1Se4,183397,227,0.4,1.507,0.01,4,1,3.25,4.04,7627.13,3.28,16.74,Non-Zintl
Al2Hg1Se4,608163,227,0.4,1.498,0.01,4,1,3.25,4.08,7677.42,3.29,16.78,Non-Zintl
Al2Hg1Se4,33827,82,1.44,4.723,0.05,2,1,4.43,0.38,344.08,0.81,6.19,Non-Zintl
Al2Hg1Te4,25641,82,1.12,0.944,0.025,2,3,2.96,3.34,780.55,2.3,30.53,Non-Zintl
Al2K6O6,74968,12,2.94,6.608,0.167,3,1,3.26,0.26,65.41,0.89,2.69,Non-Zintl
Al2K6Se6,300172,14,2.38,3.052,0.096,3,1,1.17,0.35,63.74,2.12,5.64,Non-Zintl
Al2K6Te6,300168,14,2.15,4.346,0.092,2,2,0.93,0.17,55.95,1.23,12.46,Non-Zintl
Al2Mg1O4,157186,62,5,2.537,0.069,5,1,11.06,5.72,1269.68,2.42,4.21,Non-Zintl
Al2Mg1O4,161057,63,4.91,2.529,0.074,2,1,17.13,5.82,1156.78,0.79,3.26,Non-Zintl
Al2Mg1O4,56116,227,5.17,4.798,0.1,5,1,23.04,2.09,691.89,1.27,2.59,Non-Zintl
Al2Mg1S4,107308,166,2.02,2.287,0.115,2,1,0.87,0.23,20.68,1.4,4.19,Non-Zintl
Al2Mg1S4,79672,62,3.06,1.543,0.481,5,2,4.9,3.98,22.86,3.43,2.76,Non-Zintl
Al2Mg1S4,608441,160,2.02,2.316,0.118,2,1,0.87,0.23,19.97,1.39,4.15,Non-Zintl
Al2Mg1Se4,83363,166,1.08,2.208,0.067,2,1,0.37,0.1,19.56,1.96,7.95,Non-Zintl
Al2Mg1Se4,41926,160,1.08,2.223,0.066,2,1,0.38,0.1,20.4,1.95,8.06,Non-Zintl
Al2Mg2Se5,41928,164,1.14,1.686,0.062,2,1,0.56,0.31,43.82,2.29,8.34,Non-Zintl
Al2Mn1S4,608509,227,2.19,3.183,0.475,4,3,8.33,1.7,29.44,1.43,3.37,Non-Zintl
Al2Mn1Te4,608538,121,0.89,0.663,0.143,2,1.5,3.87,5.98,59.83,2.55,4.81,Non-Zintl
Al2Na6Se6,300166,14,2.35,3.137,0.067,3,1,1.87,0.64,204.99,1.84,6.17,Non-Zintl
Al2Na6Te6,300163,14,2.14,2.142,0.603,3,5,1.02,0.56,3.77,2.99,10.65,Non-Zintl
Al2Na7Sb5,48168,11,0.32,0.514,0.324,3,2,1.35,8.02,16.04,6.14,5.4,Non-Zintl
Al2O11Si4,30119,2,4.16,2.121,0.197,6,1,0.7,0.13,4.55,4.26,2.96,Non-Zintl
Al2O3,161061,60,5.33,4.298,0.072,1,1,19.33,3.1,1416.68,0.3,3.5,Non-Zintl
Al2O3,169722,13,5.9,3.549,0.101,3,1,35.01,4.14,858.73,0.81,2.28,Non-Zintl
Al2O3,82504,12,4.46,1.696,0.087,3,1,71.73,9.95,850.07,1.29,2.55,Non-Zintl
Al2O3,151589,167,5.9,3.596,0.099,3,1,35.01,4.06,884.64,0.8,2.3,Non-Zintl
Al2O4Pb1,33532,1,3.96,6.93,1.123,1,1,7.14,0.41,6.32,0.35,1.05,Non-Zintl
Al2O4Pb1,80128,40,3.96,6.837,1.134,1,1,7.14,0.42,6.23,0.36,1.05,Non-Zintl
Al2O4Sr1,26466,4,4.15,2.605,0.113,3,1,6.86,2.22,247.42,1.75,3.83,Non-Zintl
Al2O5Si1,85745,15,5.55,1.907,0.084,5,1,84.33,10.29,1111.63,2.28,2.97,Non-Zintl
Al2O5Si1,85746,63,5.46,1.325,0.092,3,1,28.9,16.72,912.65,1.64,2.7,Non-Zintl
Al2O5Ti1,27681,63,3.25,0.88,1.239,1,4,31.48,25.85,15.48,0.73,2.39,Non-Zintl
Al2O6Rb6,74969,12,2.69,6.846,0.141,3,1,1.87,0.22,74.85,1.09,3.74,Non-Zintl
Al2P4Sr3,409134,15,1.34,0.39,0.625,1,1,2.66,22.43,11.06,1.68,1.27,Non-Zintl
Al2Pb1S4,609026,66,2.61,1.438,0.644,1,1,2.28,2.51,8.37,0.87,1.41,Non-Zintl
Al2S3,609250,167,2.44,1.443,0.28,3,2,13.11,6.64,77.48,1.45,2.58,Non-Zintl
Al2S3,73220,169,3.13,1.773,0.562,1,2,3.87,1.63,9.16,0.76,3.05,Non-Zintl
Al2S4Sr1,609259,66,3.9,0.976,0.199,5,1,2.81,4.19,45.52,4.65,2.41,Non-Zintl
Al2S4Zn1,15377,227,2.5,1.721,0.253,4,4,7.45,4.21,74.69,2.19,6.92,Non-Zintl
Al2S4Zn1,76278,227,2.5,1.723,0.253,4,4,7.45,4.21,74.83,2.19,6.93,Non-Zintl
Al2S4Zn1,609280,160,0.08,0.968,0.382,2,3,3.6,3.7,14.94,1.77,4.64,Non-Zintl
Al2Se3,14373,9,1.8,1.766,0.063,2,1,3.59,1.35,197.93,1.52,5.58,Non-Zintl
Al2Se4Sr1,49732,66,2.98,1.014,0.059,3,1,1.78,3.35,239.59,3.43,6.3,Non-Zintl
Al2Se4Zn1,609325,227,1.39,1.43,0.034,4,1,4.19,4.69,1292.25,3.06,7.23,Non-Zintl
Al2Se4Zn1,181354,82,2.15,1.042,0.049,11,1,7.01,4.3,421.1,9.54,5.42,Non-Zintl
Al2Te4Zn1,25639,82,1.63,0.958,0.047,3,3,4.28,3.77,345.49,3.06,18.62,Non-Zintl
Al2Te5,78941,12,1.02,0.76,0.481,1,1,0.3,0.49,0.98,2.19,2.89,Non-Zintl
Al4Ba1S7,33237,31,3.16,1.916,0.471,2,1,1.68,1.21,9.91,1.59,1.84,Non-Zintl
Al4Ba1Se7,181985,7,2.45,4.475,0.061,2,2,1.56,0.33,207.06,1.13,14.87,Non-Zintl
Al4Bi2S8,408439,126,2.661,0.804,3.453,4,3,1.52,0.43,0.35,0.443,2.201,Non-Zintl
Al4Ca1O7,16191,15,4.02,3.937,0.136,1,1,20.37,1.72,268.96,0.35,2.62,Non-Zintl
Al4Na4P12Sr8,409319,12,0.31,0.694,0.753,1,1,2.33,9.44,8.36,1.34,1.27,Non-Zintl
Al4O7Sr1,16751,15,3.76,4.27,0.14,1,1,17.24,1.4,237.02,0.36,2.79,Non-Zintl
Al4O7Sr1,34803,67,3.229,2.334,0.158,8,1,4.03,3.24,183.96,4.43,2.79,Non-Zintl
Al6Ca4O13,16177,217,3.6,10.556,0.101,4,1,3.39,0.12,124.34,1.13,4.61,Non-Zintl
Al6O16Sr4W1,28483,197,3.58,1.721,0.193,1,1,10.41,4.21,112.4,0.72,2.67,Non-Zintl
Al7S12Tl3,72324,4,2.791,1.179,1.532,3,3,1.45,0.48,1.31,0.626,3.802,Non-Zintl
AlCuSe2,607098,122,1.42,0.834,0.03,1,1,7.25,9.45,1384.58,0.92,6.77,Non-Zintl
AlCuTe2,607139,122,1.37,0.357,0.032,3,1,4.66,26.49,985.97,5.04,7.13,Non-Zintl
AlLiTe2,280226,122,2.44,0.688,0.236,1,9,2.71,5.97,29.82,1.2,20.58,Non-Zintl
As1Au1Na2,23254,63,0.56,0.398,0.098,1,2,1.15,12.96,106.45,2.19,10.16,Non-Zintl
As1Ca1Rb1,409177,129,1.3,1.949,0.073,15,1,4.67,0.92,127.01,8.68,4.16,Non-Zintl
As1Cd1,432,61,0.1,0.132,0.145,5,6,3.35,111.43,97.44,21.85,24.85,Non-Zintl
As1Cd1K1,609963,129,0.21,1.241,0.019,2,1,1.04,2.24,1142.95,1.75,10.6,Non-Zintl
As1Ga1,67773,186,0.2,0.451,0.009,2,1,11.44,23.26,7983.56,2.24,11.58,Non-Zintl
As1Ga1,610541,216,0.2,0.429,0.007,3,1,22,25.06,12402.97,2.8,11.18,Non-Zintl
As1K1,409653,19,0.68,1.404,0.346,1,1,1.07,1.13,9.21,1,2.32,Non-Zintl
As1K1Mg1,610753,129,1.16,1.595,0.033,2,1,1.41,1.62,539.97,1.18,6.05,Non-Zintl
As1K1Sn1,40815,186,0.32,0.495,0.037,2,1,5.49,12.06,584.34,2.43,5.74,Non-Zintl
As1K1Zn1,43985,187,0.21,0.678,0.022,2,1,1.14,5.97,1012.79,1.84,7.16,Non-Zintl
As1K1Zn1,10459,194,0.29,0.431,0.025,4,1,1.22,11.62,834.83,5.92,8.18,Non-Zintl
As1K3,26887,194,0.13,6.406,0.03,4,1,2.53,0.1,296.97,1.19,7.42,Non-Zintl
As1La1,106265,225,0.22,0.496,0.161,3,3,8.69,23.36,125.86,2.34,4.59,Non-Zintl
As1Mg1Na1,610829,129,0.97,1.123,0.026,3,1,4.57,5.4,1550.83,1.74,5.57,Non-Zintl
As1Na1,182159,14,0.62,1.807,0.199,4,4,1.41,1.23,33.58,3.32,12.47,Non-Zintl
As1Na1,182158,19,0.55,0.611,0.206,2,1,1.39,5.72,29.22,3.22,3.09,Non-Zintl
As1Na1Sr1,402448,189,0.82,0.555,0.029,1,1,1.55,9.88,832.54,1.32,7.75,Non-Zintl
As1Na1Zn1,610979,129,0.39,0.794,0.033,2,1,1.5,6.47,769.83,2.08,7.04,Non-Zintl
As1Na3,79586,185,0.06,1.293,0.013,4,1,1.57,1.73,1704.77,3.93,15.46,Non-Zintl
As1Na3,69677,225,0.12,1.915,0.011,3,1,1.44,1.07,2343.21,1.52,10.97,Non-Zintl
As1Na3,182162,194,0.09,1.297,0.014,4,1,4.23,2.75,2563.34,2.48,9.54,Non-Zintl
As1Rb1,412594,19,0.59,1.172,0.346,2,1,0.84,1.27,7.88,2.58,2.68,Non-Zintl
As1Si1,153457,12,1.44,0.653,0.237,4,3,0.43,0.63,2.9,7.95,10.96,Non-Zintl
As1Sr1,26264,189,0.01,0.437,0.208,2,1,1.7,16.17,49.19,3.26,2.55,Non-Zintl
As1Zn1,431,61,0.45,0.63,0.039,3,8,2.44,13.47,882.15,4.57,64.95,Non-Zintl
As2Au1K5,40698,194,0.39,2.851,0.068,7,1,1.17,0.42,113.79,4.64,6.24,Non-Zintl
As2Ba1,414139,7,0.37,1.49,0.807,3,1,1.19,1.89,4.74,3.27,1.58,Non-Zintl
As2Ba1Cd2,30917,164,0.17,0.31,0.041,2,1,2.28,30.99,639.14,3.51,5.88,Non-Zintl
As2Ba1Ga2,380478,14,1.11,1.054,0.499,3,8,1.41,4.05,12.47,3.93,16.41,Non-Zintl
As2Ba1Mg2,30916,164,1.06,0.467,0.344,3,3,3.35,16.96,26.8,3.4,4.08,Non-Zintl
As2Ba1Zn2,12146,62,0.28,0.265,0.198,2,1,1.65,44.71,69.63,5.65,3.37,Non-Zintl
As2Ba2Cd1,422941,36,0.39,0.344,0.045,1,1,1.25,18.72,394.86,2.12,7.17,Non-Zintl
As2Ba2Zn1,421423,72,0.65,1.087,0.458,3,1,1.31,3.93,14.36,2.99,1.67,Non-Zintl
As2Ca1Cd2,100065,164,0.24,0.356,0.023,2,1,2.91,27.87,1725.09,3.1,8.06,Non-Zintl
As2Ca1Mg2,100041,164,1.25,0.356,0.419,1,3,4.57,28.32,22.17,1.21,3.29,Non-Zintl
As2Ca1Zn2,100064,164,0.39,0.193,0.128,3,1,5.71,105.28,195.15,5.48,2.34,Non-Zintl
As2Ca2Cd1,422578,8,0.68,0.248,0.04,2,1,1.81,42.6,667.53,5.77,8.67,Non-Zintl
As2Ca2Cd1,422579,36,0.88,0.271,0.036,2,1,1.99,33.88,689.4,4.31,7.2,Non-Zintl
As2Cd1,20518,98,0.22,0.343,0.04,3,3,7.71,29.64,751.1,4.9,17.84,Non-Zintl
As2Cd1,609931,98,0.21,0.343,0.04,3,3,6.61,29.67,751.87,4.89,17.83,Non-Zintl
As2Cd1K4,300190,166,0.62,3.016,0.095,6,1,1.04,0.33,58.92,2.86,3.79,Non-Zintl
As2Cd1Si1,609980,122,0.41,0.233,0.01,1,1,7.76,63.15,6636.69,1.98,12.72,Non-Zintl
As2Cd1Sn1,43358,122,0.07,0.47,0.021,3,1,4.51,17.58,1859.01,4.32,9.29,Non-Zintl
As2Cd1Sr2,422940,36,0.53,0.397,0.028,1,1,1.57,18.19,996.72,1.79,8.89,Non-Zintl
As2Cd2Sr1,23249,164,0.15,0.357,0.02,2,1,2.41,25.84,1924.29,3.2,8.97,Non-Zintl
As2Ga1K2Na1,300129,72,0.82,4.122,0.025,1,1,1.18,0.29,606.91,0.48,10.2,Non-Zintl
As2Ga2Sr1,422527,10,0.15,0.339,0.035,1,1,2.05,29.52,908.01,2.28,8.98,Non-Zintl
As2Hg1K4,402573,166,0.71,3.088,0.108,6,1,0.92,0.32,48.89,3.1,3.87,Non-Zintl
As2In1K2Na1,300137,72,0.64,2.22,0.025,1,1,1.1,0.74,608.06,0.7,10.31,Non-Zintl
As2K2Si1,40426,72,1.01,1.383,0.514,1,4,1.19,1.45,6.41,0.82,5.95,Non-Zintl
As2K4Zn1,409919,166,0.73,3.325,0.096,6,1,1.11,0.3,60.46,2.59,3.63,Non-Zintl
As2La1,280294,9,0.75,1.544,0.312,2,2,1.73,3.62,39.84,1.97,5.13,Non-Zintl
As2Mg1Si1,182367,122,1.26,0.273,0.169,1,1,9.5,48.86,99.84,1.55,2.07,Non-Zintl
As2Mg3,25504,164,0.87,0.328,0.141,1,7,5.08,33.84,119.71,1.28,14.9,Non-Zintl
As2Mg3,24485,208,0.56,0.397,0.021,7,1,4.33,23.67,1912.08,9.38,7.77,Non-Zintl
As2Na2,421420,14,0.62,1.81,0.197,4,4,1.41,1.23,34.09,3.32,12.55,Non-Zintl
As2Rb2Si1,60617,72,0.96,0.964,0.229,1,3,0.93,2.13,18.36,1.18,8.38,Non-Zintl
As2Rb2Sn1,71223,72,0.69,1.365,0.054,1,1,0.88,1.25,157.25,0.99,6.86,Non-Zintl
As2Si1,611405,55,1.06,0.927,0.154,1,3,0.48,0.46,6.71,1.83,16.1,Non-Zintl
As2Si1Zn1,23707,122,0.9,0.366,0.024,1,1,9.19,36.28,2180.67,1.42,7.32,Non-Zintl
As2Sn2Sr1,611428,160,0.07,0.545,0.201,2,7,2.86,12.08,53.74,2.51,15.97,Non-Zintl
As2Sn2Sr1,82371,166,0.07,0.545,0.204,2,7,2.85,12.05,52.74,2.51,15.88,Non-Zintl
As2Sr1Zn2,23248,164,0.25,0.161,0.105,3,2,2.48,84.53,158.95,7.76,6.66,Non-Zintl
As2Sr2,83353,189,0.01,0.449,0.209,2,1,1.72,15.53,48.74,3.21,2.54,Non-Zintl
As3Ba3In1,402338,62,0.51,0.735,0.341,2,3,1.19,5.51,17.47,3.64,8.66,Non-Zintl
As3Ca3Ga1,60126,62,0.36,0.327,0.171,2,2,1.97,27.82,73.44,4.77,7.03,Non-Zintl
As3La1Zn3,261981,62,0.34,0.415,0.205,1,2,2.16,27.27,78.36,2.3,7.02,Non-Zintl
As3Sr1,611440,2,0.61,0.343,0.42,9,2,2.38,12.53,9.24,20.4,4.01,Non-Zintl
As3Sr2Zn2,262413,12,0.11,0.802,0.217,1,2,1.63,7.58,53.68,1.29,5.63,Non-Zintl
As4Ba3Si2,41183,15,0.82,2.194,0.243,3,1,1.63,1.35,36.74,2.19,2.74,Non-Zintl
As4Ca3In2,61336,58,0.18,0.237,0.022,1,1,2.2,44.36,1533.71,2.74,11.3,Non-Zintl
As4Ga1Na3Sr3,402286,186,0.45,0.426,0.052,1,1,1.54,14.13,327.95,2.02,7.1,Non-Zintl
As4Ga2Sr3,423785,15,0.7,0.21,0.24,1,2,1.86,51.84,42.36,2.97,5.48,Non-Zintl
As4Mg1,1079,92,0.84,0.244,1.326,5,2,2.53,43.25,3.4,13.91,2.01,Non-Zintl
As4Na8Ti1,73310,227,1.02,1.12,0.445,3,1,1.61,2.55,10.18,3.31,1.92,Non-Zintl
As4Si2Sr3,16453,15,0.92,0.626,0.262,1,1,1.99,10.07,37.14,1.45,2.45,Non-Zintl
As4Si3,163832,111,0.41,0.765,0.182,2,2,15.41,10.35,89.06,1.79,4.23,Non-Zintl
As4Sn3,163834,111,0.38,1.354,0.033,2,1,5.04,2.71,703.74,1.67,7.72,Non-Zintl
As4Sr3,100110,43,0.63,1.697,0.228,4,2,1.44,1.98,40.29,3.24,5.41,Non-Zintl
As6Ca5Ga2,27,55,0.16,0.698,0.347,2,2,2.03,9.92,28.33,2.94,4.47,Non-Zintl
As6Ca5Sn2,61037,55,0.25,0.631,0.066,2,1,1.81,10.2,304,3.29,6.39,Non-Zintl
As6Rb4,409381,69,0.4,0.604,0.691,1,2,0.74,3.01,2.46,1.74,3.22,Non-Zintl
As6Sn2Sr5,262646,55,0.07,0.706,0.056,2,1,1.53,7.69,341.52,3.3,7.53,Non-Zintl
AsB,43871,216,1.21,0.145,0.183,3,6,91.78,286.13,202.82,4.3,7.5,Non-Zintl
AsGa,600516,216,0.21,0.429,0.007,3,1,22.04,25.1,12036.93,2.8,11.04,Non-Zintl
Au1Ba4Na1O8,73189,139,1.67,2.266,1.365,5,1,1.67,1.37,2.94,4.27,1.16,Non-Zintl
Au1Bi1K2,380341,63,0.93,0.662,0.102,3,1,0.62,3.1,51.02,5.61,5.74,Non-Zintl
Au1Bi1Na2,261788,63,0.47,0.294,0.153,6,4,0.78,16.46,43.72,18.15,17.88,Non-Zintl
Au1Cr1S2,88852,160,0.75,0.67,1.602,1,0.5,8.89,13.5,3.65,1.02,0.3,Non-Zintl
Au1Cs1S1,656712,63,2.038,0.459,0.405,5,2,0.4,0.29,3.23,0.627,5.94,Non-Zintl
Au1Ga1O2,95666,194,0.05,0.6,0.096,9,1,12.36,36.72,570.61,11.8,3.93,Non-Zintl
Au1K1N12,416489,15,1.45,4.394,3.513,6,3,0.76,0.06,0.09,3.48,1.99,Non-Zintl
Au1K1Na2O2,61226,58,2.14,7.098,1.609,4,1,2.22,0.2,1.83,1.56,0.95,Non-Zintl
Au1K1O2,15115,47,1.26,0.803,1.091,3,2,1.28,5.84,3.69,3.81,2.11,Non-Zintl
Au1K1S1,656711,63,2.24,0.637,0.735,3,2,0.7,3.11,2.51,5.47,3.34,Non-Zintl
Au1K1S5,402875,72,1.78,1.299,1.504,3,1,0.79,0.69,0.55,4.4,1.34,Non-Zintl
Au1K1S5,84000,72,1.78,1.342,1.498,3,1,0.79,0.66,0.56,4.32,1.35,Non-Zintl
Au1K1Se1,40759,63,1.91,0.549,0.544,3,2,0.57,3.38,3.43,6.39,4.29,Non-Zintl
Au1K1Se2,84003,127,0.89,2.26,2.418,1,4,0.8,0.65,0.59,0.85,3.27,Non-Zintl
Au1K1Se5,84001,72,1.03,1.726,1.445,1,1,0.69,0.51,0.66,1.45,1.61,Non-Zintl
Au1K2P1,300201,63,1.14,1.341,0.251,4,1,0.95,1.56,19.28,3.97,2.72,Non-Zintl
Au1K2Sb1,380340,63,1.14,0.678,0.264,3,1,0.75,3.43,14.06,4.89,2.87,Non-Zintl
Au1K3O1,79086,221,0.62,4.982,0.223,3,3,0.85,0.2,21.12,1.12,7.25,Non-Zintl
Au1K3Se2,402000,167,2.11,4.295,0.221,5,1,0.93,0.22,19.04,2.58,3.06,Non-Zintl
Au1K5P2,40700,194,0.54,4.199,0.092,4,1,1.36,0.26,80.96,1.94,4.82,Non-Zintl
Au1La1O3,73873,57,1.93,1.947,3.28,3,4,3.56,4.32,1.97,2.57,2.51,Non-Zintl
Au1Li1S1,280534,70,1.955,1.177,0.072,4,1,1.93,4.51,235.59,7.196,6.858,Non-Zintl
Au1Li1S1,165259,15,1.956,1.408,0.071,3,1,1.93,4.51,235.83,7.059,6.86,Non-Zintl
Au1Li3S2,280535,72,2.355,0.329,0.146,3,2,2.24,1.66,84.32,0.153,7.338,Non-Zintl
Au1N12Rb1,416488,15,1.47,4.783,3.932,5,3,0.87,0.08,0.11,2.99,2.02,Non-Zintl
Au1N1Sr2,95826,63,0.01,0.445,0.438,6,2,1.95,17.67,18.13,10.87,3.66,Non-Zintl
Au1Na1O2,409547,63,1.17,2.147,0.735,1,2,1.06,0.94,4.71,0.97,3.7,Non-Zintl
Au1Na1Se2,84004,14,0.86,1.646,1.429,1,3,1.01,1.28,1.58,1.24,4.04,Non-Zintl
Au1Na2O2Rb1,411460,58,2.16,9.348,0.99,4,1,1.45,0.12,3.61,1.39,1.34,Non-Zintl
Au1Na2Sb1,23255,63,0.48,0.276,0.151,1,2,0.93,19.54,48.07,2.81,8.06,Non-Zintl
Au1Na3O2,62066,136,2.07,2.42,0.495,2,2,3.06,1.23,13.34,1.62,4.2,Non-Zintl
Au1Na3S2,202329,167,2.35,1.909,0.276,3,1,1.4,1.22,22.23,2.35,2.5,Non-Zintl
Au1O1Rb1,409552,139,1.64,6.669,0.559,1,1,1.53,0.17,7.06,0.49,2.19,Non-Zintl
Au1O1Rb3,79087,221,0.25,3.307,0.212,3,3,0.76,0.39,23.94,1.48,7.7,Non-Zintl
Au1O2Rb1,15116,63,1.66,3.563,2.043,3,2,0.87,0.3,0.69,2.16,2.01,Non-Zintl
Au1O2Sc1,95669,194,2.15,1.621,0.467,8,1,12.53,6.99,45.24,5.3,1.4,Non-Zintl
Au1O2Y1,95675,194,2.8,1.773,0.432,12,1,10.53,5.23,43.52,7.54,1.47,Non-Zintl
Au1Rb1S1,71654,63,2.13,0.453,0.695,5,2,0.6,4.89,2.57,11.59,3.59,Non-Zintl
Au1Rb1Se1,402190,63,1.82,0.383,0.556,5,2,0.52,5.35,3.06,13.72,4.39,Non-Zintl
Au1Rb1Te1,71652,51,1.24,0.59,0.388,1,1,0.46,2.69,5.03,2.14,2.75,Non-Zintl
Au1Rb1Te1,75026,194,0.02,0.646,0.044,3,3,0.7,4.95,279.98,4.84,24.34,Non-Zintl
Au1Rb2S4Sb1,54507,57,1.657,0.733,0.513,8,2,0.71,0.36,2.8,2.213,5.634,Non-Zintl
Au1Sb1Sr1,106292,194,0.06,0.125,0.312,1,2,0.82,78.75,19.89,4.18,4.83,Non-Zintl
Au2Ba1O4,80327,88,1.6,6.482,5.634,3,2,2.51,0.62,0.76,1.24,0.9,Non-Zintl
Au2Ba1S4Sn1,2489,18,1.059,0.282,0.196,1,1,1.1,2.94,33.96,0.283,5.021,Non-Zintl
Au2Ca1O4,79802,88,1.74,7.089,2.295,3,1,3.77,0.61,3.32,1.17,0.76,Non-Zintl
Au2Ca1O4,83386,88,1.74,7.099,2.3,3,1,3.77,0.61,3.31,1.17,0.76,Non-Zintl
Au2Cd2Cs2S4,85581,67,2.177,0.532,0.269,6,1,0.76,1.99,14.29,3.522,3.331,Non-Zintl
Au2Cd2Rb2S4,85582,54,2.05,0.461,0.345,3,1,0.9,6.49,9.99,8.31,3.29,Non-Zintl
Au2Cs2S4Sn1,408685,70,2.151,3.081,0.251,5,1,0.65,1.18,9.41,51.377,4.355,Non-Zintl
Au2O3,8014,43,0.95,3.424,0.804,2,4,4.89,1.29,11.31,1.38,6.6,Non-Zintl
Au2O4Sr1,80328,88,1.68,7.111,2.292,3,2,3.44,0.57,3.1,1.18,1.55,Non-Zintl
Au2O8Sr5,71965,22,1.4,1.166,0.549,3,1,3.47,8.35,25.82,3.1,1.62,Non-Zintl
Au2S1,78718,224,1.99,1.757,0.151,3,1,10.07,3.23,128.78,2.17,3.16,Non-Zintl
Au3K3Sb2,78977,166,1.19,0.528,0.259,7,4,0.68,5.59,16.3,14.9,13.06,Non-Zintl
Au3La3Sb4,612105,220,0.59,1.632,0.095,5,4,1.99,3.81,269.74,5.14,22.58,Non-Zintl
Au3O2Rb5,91308,55,0.96,2.171,0.408,6,1,0.82,0.64,7.87,6.61,3,Non-Zintl
Au3P7Sn1,416407,11,0.12,0.293,0.223,2,1,3.49,54.93,83.05,5.44,3.21,Non-Zintl
Au3Rb1Se2,82541,164,2.11,0.626,0.239,2,2,0.46,1.92,8.15,4.99,8.89,Non-Zintl
Au3Rb3Sb2,78978,166,1.31,0.713,0.261,5,4,0.59,2.94,13.25,9.58,14,Non-Zintl
Au3Sb4Y3,957,220,0.6,1.646,0.058,4,4,2.31,4.23,642.94,3.93,29.32,Non-Zintl
Au4Cd1K2S4,85583,72,2.16,0.911,0.378,7,1,1.04,3.46,12.97,13.14,3.18,Non-Zintl
Au5O2Rb7,95825,71,0.83,4.046,0.203,1,1,0.66,0.19,17.15,0.76,4.58,Non-Zintl
Au6K4S5,202552,190,1.79,3.542,0.161,2,1,0.82,0.29,29.82,1.93,6.17,Non-Zintl
Au6Rb4S5,82556,190,1.87,3.689,0.177,2,1,0.7,0.22,21.05,2,6.18,Non-Zintl
B18Cs8S18,98522,2,3.127,2.876,2.542,5,1,1.02,1.25,0.31,39.439,0.924,Non-Zintl
B18Rb8S18,98521,2,3.097,2.479,3.331,4,1,1.18,1.35,0.22,23.143,0.72,Non-Zintl
B1Ba1Bi1S4,248222,12,1.948,1.265,0.888,1,5,0.98,0.19,2.48,0.071,7.888,Non-Zintl
B1Ba1Li1S3,82352,14,2.164,0.682,0.626,3,1,1.81,3.91,7.9,2.007,1.572,Non-Zintl
B1Ba1S4Sb1,248221,62,2.362,1.877,1.036,4,6,1.19,0.15,2.11,0.36,8.864,Non-Zintl
B1Cs1Li2S3,411530,62,3.094,1.934,0.89,2,3,1.51,0.46,2.84,0.68,4.084,Non-Zintl
B1Cs3S3,391170,14,2.523,3.42,2.325,4,2,0.86,0.51,0.4,9.482,1.937,Non-Zintl
B1K3S3,411607,14,2.742,3.229,3.48,2,3,1.44,0.36,0.29,1.341,1.647,Non-Zintl
B1Li1S3Sr1,380105,62,2.381,2.071,0.962,3,1,2.04,4.03,4.27,9.849,1.128,Non-Zintl
