,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
20893,InSb50Te100Tl49,Conductivity,,electrical conductivity,[49000.0],[372.0],49000.0,372.0
20894,InSb50Te100Tl49,Conductivity,,electrical conductivity,[11800.0],[372.0],11800.0,372.0
20895,InSb49Te100Tl50,Conductivity,,electrical conductivity,[69500.0],[379.0],69500.0,379.0
20896,SbTe2Tl,Conductivity,,electrical conductivity,[15400.0],[625.0],15400.0,625.0
20897,Cr2CuSe4,Conductivity,,σ,[263000.0],[300.0],263000.0,300.0
20899,CuInTe2,Conductivity,,electrical conductivity,[10000.0],[295],10000.0,295.0
20900,SeZn,Conductivity,,electrical conductivity,[1e-06],[295],1e-06,295.0
20901,B4VZr,Conductivity,,σ,[6080000.0],[300.0],6080000.0,300.0
20902,B4TiV,Conductivity,,σ,[6080000.0],[300.0],6080000.0,300.0
20903,Ba3Cu16S9Te2,Conductivity,,electrical conductivity,[2000.0],[295],2000.0,295.0
20904,Ba30Cu153S75Te35,Conductivity,,σ,[10400.0],[690.0],10400.0,690.0
20905,Ba30Cu153S75Te35,Conductivity,,σ,[13100.0],[690.0],13100.0,690.0
20906,Al2Sb6Sr5,Conductivity,,σ,[943.0],[800.0],943.0,800.0
20907,Al2Fe3Si3,Conductivity,,electrical conductivity,[50000.0],[430.0],50000.0,430.0
20908,CoO6,Conductivity,,conductivity,[15000.0],[1173.0],15000.0,1173.0
20909,Co5O15Sr6,Conductivity,,electrical conductivity,"[260.0, 9600.0]","[300.0, 900.0]",4930.0,600.0
20910,Nb3Sb2Te5,Conductivity,,electrical conductivity,[7500.0],[295],7500.0,295.0
20911,SbTe2Tl,Conductivity,,conductivity,[0.0006000000000000001],[900.0],0.0006000000000000001,900.0
20912,T,Conductivity,,σ,[2132.2],[700.0],2132.2,700.0
20913,SiTe3Tl3,Conductivity,,σ,[670.0],[180.0],670.0,180.0
20914,Co5Eu4O15Sr,Conductivity,,electrical conductivity,[0.3],[295],0.30000000000000004,295.0
20915,Bi2Se3,Conductivity,,electrical conductivity,[480.99999999999994],[420.0],481.0,420.0
20916,Bi4Se7Sn,Conductivity,,electrical conductivity,[250.99999999999997],[90.0],251.0,90.0
20917,FeSi,Conductivity,,σ,[300000.0],[300.0],300000.0,300.0
20918,CuP2,Conductivity,,electrical conductivity,[809.0],[300.0],809.0,300.0
20919,AgFe99O150,Conductivity,,highest electrical conductivity,[27.0],[1073.0],27.0,1073.0
20920,SSn,Conductivity,,conductivity,[2.0],[295],2.0,295.0
20922,SSn,Conductivity,,conductivity,[19.3],[295],19.3,295.0
20923,CeO15Sr4Ti5,Conductivity,,σ,[130000.0],[295],130000.0,295.0
20925,Ge,Conductivity,,electrical conductivity,[24000.0],[960.0],24000.0,960.0
20926,Ge,Conductivity,,electrical conductivity,[24000.0],[960.0],24000.0,960.0
20927,InTe,Conductivity,,conductivity,[1561.2],[295],1561.2,295.0
20928,Fe5HfSb5V4,Conductivity,,electrical conductivity,[4000.0],[900.0],4000.0,900.0
20929,NiPbZr,Conductivity,,conductivity,[22010.0],[295],22010.0,295.0
20930,S2Sn,Conductivity,,σ,[15.33],[300.0],15.33,300.0
20931,S2Sn,Conductivity,,σ,[7620.0],[300.0],7620.0,300.0
